id	station	date	since	till	duration	repetition	title	moderators	description
18414478	plus	2023-01-30	11:33:09	11:59:17	00:26:08	False	Interview Plus	Jan Bumba	Jiří Přibáň, právník a sociolog, profesor univerzity ve velšském Cardiffu. Vítězství Petra Pavla v prezidentských volbách odstartovalo vlnu radosti jeho příznivců. Nově zvolený prezident ale hned po oznámení výsledků zdůrazňoval, že nejsou žádní poražení voliči, a že chce být prezidentem i pro ty, kdo dali hlas jeho soupeři. Může Pavel v roli prezidenta spojit rozdělenou společnost? Může jeho vítězství proměnit celou českou politiku? Moderuje Jan Bumba.
18414507	plus	2023-01-30	16:33:14	16:59:22	00:26:08	True	Interview Plus	Jan Bumba	Jiří Přibáň, právník a sociolog, profesor univerzity ve velšském Cardiffu. Vítězství Petra Pavla v prezidentských volbách odstartovalo vlnu radosti jeho příznivců. Nově zvolený prezident ale hned po oznámení výsledků zdůrazňoval, že nejsou žádní poražení voliči, a že chce být prezidentem i pro ty, kdo dali hlas jeho soupeři. Může Pavel v roli prezidenta spojit rozdělenou společnost? Může jeho vítězství proměnit celou českou politiku? Moderuje Jan Bumba.
18414554	plus	2023-01-31	05:05:44	05:31:52	00:26:08	True	Interview Plus	Jan Bumba	Jiří Přibáň, právník a sociolog, profesor univerzity ve velšském Cardiffu. Vítězství Petra Pavla v prezidentských volbách odstartovalo vlnu radosti jeho příznivců. Nově zvolený prezident ale hned po oznámení výsledků zdůrazňoval, že nejsou žádní poražení voliči, a že chce být prezidentem i pro ty, kdo dali hlas jeho soupeři. Může Pavel v roli prezidenta spojit rozdělenou společnost? Může jeho vítězství proměnit celou českou politiku? Moderuje Jan Bumba.
18414591	plus	2023-01-31	11:33:32	12:00:00	00:26:28	False	Interview Plus	Jan Bumba	ToyBox, malířka, streetartová umělkyně a komiksová kreslířka. Vzrušená atmosféra provázející prezidentskou volbu přiměla i řadu umělců k výzvám k aktivní účasti na hlasování, nebo k přímé podpoře jednoho z kandidátů. Jak moc se vzájemně ovlivňují světy politiky a umění? Kdo má rozhodovat o tom, jaké výtvarné práce se objeví ve veřejném prostoru? Moderuje Jan Bumba.
18414620	plus	2023-01-31	16:33:13	16:59:19	00:26:06	True	Interview Plus	Jan Bumba	ToyBox, malířka, streetartová umělkyně a komiksová kreslířka. Vzrušená atmosféra provázející prezidentskou volbu přiměla i řadu umělců k výzvám k aktivní účasti na hlasování, nebo k přímé podpoře jednoho z kandidátů. Jak moc se vzájemně ovlivňují světy politiky a umění? Kdo má rozhodovat o tom, jaké výtvarné práce se objeví ve veřejném prostoru? Moderuje Jan Bumba.
18470105	plus	2023-02-01	05:05:29	05:31:35	00:26:06	True	Interview Plus	Jan Bumba	ToyBox, malířka, streetartová umělkyně a komiksová kreslířka. Vzrušená atmosféra provázející prezidentskou volbu přiměla i řadu umělců k výzvám k aktivní účasti na hlasování, nebo k přímé podpoře jednoho z kandidátů. Jak moc se vzájemně ovlivňují světy politiky a umění? Kdo má rozhodovat o tom, jaké výtvarné práce se objeví ve veřejném prostoru? Moderuje Jan Bumba.
18470142	plus	2023-02-01	11:33:55	12:00:00	00:26:05	False	Interview Plus	Šárka Fenyková	Martin Hála, sinolog. Za diplomatický průlom označila agentura Reuters telefonát tchajwanské prezidentky s nově zvoleným českým prezidentem Petrem Pavlem. Odchází s prezidentem Milošem Zemanem i politika vstřícná vůči Číně? A může se to Česku nevyplatit? Moderuje Šárka Fenyková.
18470171	plus	2023-02-01	16:33:30	16:59:18	00:25:48	True	Interview Plus	Šárka Fenyková	Martin Hála, sinolog. Za diplomatický průlom označila agentura Reuters telefonát tchajwanské prezidentky s nově zvoleným českým prezidentem Petrem Pavlem. Odchází s prezidentem Milošem Zemanem i politika vstřícná vůči Číně? A může se to Česku nevyplatit? Moderuje Šárka Fenyková.
18470214	plus	2023-02-02	05:05:58	05:31:46	00:25:48	True	Interview Plus	Šárka Fenyková	Martin Hála, sinolog. Za diplomatický průlom označila agentura Reuters telefonát tchajwanské prezidentky s nově zvoleným českým prezidentem Petrem Pavlem. Odchází s prezidentem Milošem Zemanem i politika vstřícná vůči Číně? A může se to Česku nevyplatit? Moderuje Šárka Fenyková.
18470251	plus	2023-02-02	11:33:34	11:59:20	00:25:46	False	Interview Plus	Jan Bumba	Andrea Procházková, zástupkyně šéfredaktora týdeníku Respekt. Premiér Petr Fiala po návštěvě ministerstva spravedlnosti zopakoval, že dosluhující prezident Miloš Zeman by neměl jmenovat nového předsedu Ústavního soudu. Prezident Zeman naopak trvá na tom, že mu několik představitelů české justice řeklo, že to udělat může. Proč by to ale dělal? Čeká Českou republiku složitá právní bitva o to, kdo bude šéfovat nejvyšší soudní instanci v zemi? Moderuje Jan Bumba.
